,category,headline,authors,link,short_description,date
71412,CRIME,Affluenza Teen's Mom Is Also Missing,,https://www.huffingtonpost.com/entry/affluenza-teen-missing-mom_us_56789bd0e4b014efe0d68b01,"Tonya Couch may be with her son, Ethan, the Tarrant County Sheriff's Office said.",2015-12-22
71414,CRIME,"Man Trying To 'Enter Time Portal' Crashes Speeding Car Into Store, Cops Say",Nina Golgowski,https://www.huffingtonpost.com/entry/time-traveler-crashes-car-into-building_us_5679911de4b06fa6887ee061,"Where this man was going, he didn't need roads.",2015-12-22
71418,CRIME,Driver Who Slammed Car Into Vegas Strip Faces Murder Charges,"Sally Ho, Ken Ritter, AP",https://www.huffingtonpost.com/entry/las-vegas-strip-crash_us_567877ece4b0b958f657a343,"Police believe Lakeisha N. Holloway, 24, intentionally mowed down people on a busy stretch of Las Vegas Boulevard, killing one and injuring dozens of others Sunday night.",2015-12-21
71419,CRIME,Police: Officer Kills Man Reaching For Gun At California Hospital,,https://www.huffingtonpost.com/entry/officer-kills-man-reaching-for-gun-at-california-hospital_us_56775902e4b0b958f65711e1,"TORRANCE, Calif. (AP) — A man brought to a hospital after attacking police was shot to death by a Los Angeles officer in",2015-12-21
71424,CRIME,"Car Mows Down Pedestrians On Las Vegas Strip, Killing 1 And Injuring Dozens",,https://www.huffingtonpost.com/entry/las-vegas-strip-closed-for-crash_us_56777ebee4b014efe0d5e65f,"The female driver left the scene, but was later taken into custody.",2015-12-21
71476,CRIME,‘Opie And Anthony’ Ex-Host Charged After Woman Live Streams Alleged Assault,Nina Golgowski,https://www.huffingtonpost.com/entry/opie-and-anthony-host-charged-assault_us_56780953e4b014efe0d5f2ca,Anthony Cumia was arrested shortly after his 26-year-old girlfriend accused him of breaking her hand in a Periscope video.,2015-12-21
71498,CRIME,Four-Year-Old Dies In Fire At Site Where Nine Died In 1952 Blaze,"STEPHEN SINGER, AP",https://www.huffingtonpost.com/entry/four-year-old-dies-in-fire-at-site-where-nine-died-in-1952-blaze_us_56775f72e4b0b958f6571262,"STEPHEN SINGER, Associated Press A fatal weekend house fire in Massachusetts has eerie similarities with an even deadlier",2015-12-21
71515,CRIME,Watch Agile Burglar Break Into Jewelry Store Through Ceiling,Lee Moran,https://www.huffingtonpost.com/entry/jewelry-store-ceiling-burglar-video_us_56767797e4b06fa6887db116,"The suspect went full ""Mission: Impossible"" for the raid.",2015-12-20
71517,CRIME,FBI Investigated Folk Singer Pete Seeger For Years,"Michael Hill, George M. Walsh, Associated Press",https://www.huffingtonpost.com/entry/pete-seeger-fbi_us_5676e5fbe4b014efe0d5d9a4,"They worried about Seeger's ""Communistic sympathies.""",2015-12-20
71586,CRIME,Mother Jailed Over Microwave Oven Death Of 1-Month-Old Daughter,,https://www.huffingtonpost.com/entry/ka-yang-microwave-oven-death-daughter_us_56753edfe4b014efe0d5b114,Judge imposed 26-years-to-life sentence on Ka Yang.,2015-12-19
71591,CRIME,Hero High School Football Player Killed Shielding Girls From Gunfire,Hilary Hanson,https://www.huffingtonpost.com/entry/zaevion-dobson-killed-shielding-girls_us_56757c38e4b014efe0d5b39a,Police believe that the shooting was random.,2015-12-19
71609,CRIME,Shoplifter Shot And Killed After Running Over Deputies,"BRUCE SCHREINER, AP",https://www.huffingtonpost.com/entry/shoplifter-shot-and-killed-after-running-over-deputies_us_5675e1b2e4b014efe0d5c876,"Amos Frerichs ""used his vehicle as a weapon,"" police say.",2015-12-19
71760,CRIME,Oregon Man Who Beheaded Mom's Cat Learns His Fate,,https://www.huffingtonpost.com/entry/rudy-espinoza-oregon-man-who-beheaded-moms-cat-learns-his-fate_us_567337f8e4b014efe0d4d19e,The suspect told police the cat was evil.,2015-12-17
71763,CRIME,Officer Clashes With Protester After Freddie Gray Decision,Michael McLaughlin,https://www.huffingtonpost.com/entry/officer-clashes-with-protester-after-freddie-gray-decision_us_56720c9ae4b0688701dc3e5b,Video shows the man fall to the ground among a group of protesters as more police rush in and drag away the man.,2015-12-17
71807,CRIME,Horrifying Video Shows Road-Rage Machete Attacker Slash Driver's Face,Nina Golgowski,https://www.huffingtonpost.com/entry/road-rage-machete-attack-filmed_us_5672cf47e4b0688701dc6629,Police said the man followed the victim home.,2015-12-17
71811,CRIME,Man Who Supplied Guns To California Shooters Arrested On Terrorism-Related Charges,,https://www.huffingtonpost.com/entry/san-bernardino-shooters-friend-gun-supplier-charged_us_5672b05fe4b0dfd4bcc0b0bd,Marquez was also charged with defrauding U.S. immigration authorities by entering into a sham marriage with a woman in Farook's extended family.,2015-12-17
71872,CRIME,Brainless Romeo Shuts Down Highway To Propose,Nina Golgowski,https://www.huffingtonpost.com/entry/man-charged-after-highway-proposal_us_567185e8e4b0dfd4bcc0101b,"""Love makes you do stupid things,"" the recently divorced 24-year-old said.",2015-12-16
71905,CRIME,An 18-Year-Old Said She Was Raped At Knifepoint. Then She Recanted. That's Where The Story Begins.,,https://www.huffingtonpost.comhttps://www.propublica.org/article/false-rape-accusations-an-unbelievable-story,"No one came to court with her that day, except her public defender.",2015-12-16
71925,CRIME,Detective Kills Himself In Standoff After Child Sex Crime Charges,Nina Golgowski,https://www.huffingtonpost.com/entry/detective-kills-himself-in-standoff_us_5671a840e4b0648fe301d23b,Manassas City Police Det. David Edward Abbott Jr. was wanted for allegedly having inappropriate relations with two boys.,2015-12-16
71950,CRIME,Oklahoma DA Tackles Defendant Running From Courtroom,David Moye,https://www.huffingtonpost.com/entry/oklahoma-da-tackles-defendant-running-from-courtroom_us_5670889fe4b0fccee1706480,"The DA who tackled the accused said the courthouse courtroom is like ""being in the Wild West.""",2015-12-15
71985,CRIME,"Irate Hotel Guest Crashes Truck Through Lobby, Nearly Crushing Staff",Nina Golgowski,https://www.huffingtonpost.com/entry/hotel-guest-crashes-pickup-through-lobby_us_5670287fe4b0e292150f2d99,"He said he wasn't bluffing, and he proved it.",2015-12-15
72012,CRIME,Salvation Army Bell Ringer Accused Of Flashing After Boy Donated Cash,Lee Moran,https://www.huffingtonpost.com/entry/salvation-army-bell-ringer-flash-genitalia_us_566fd8c6e4b0e292150f19db,The volunteer allegedly exposed himself outside a Food City in Tennessee.,2015-12-15
72044,CRIME,Bergdahl To Face Court Martial For Desertion,,https://www.huffingtonpost.comhttps://www.washingtonpost.com/news/checkpoint/wp/2015/12/14/sgt-bowe-bergdahl-recommended-to-face-general-court-martial-for-desertion/?hpid=hp_hp-top-table-main_bergdahl_cp_235pm:homepage/story,Army Sgt. Bowe Bergdahl will face general court-martial in connection with his 2009 disappearance from his base in Afghanistan,2015-12-14
72050,CRIME,Maryland Man Arrested For Trying To Aid ISIS,,https://www.huffingtonpost.com/entry/maryland-man-arrested-for-trying-to-aid-isis_us_566f235be4b0fccee16f6f35,"Dec 14 (Reuters) - A Maryland man has been charged with attempting to provide material support to Islamic State, the Justice",2015-12-14
72053,CRIME,Georgia Mayor Dies After Being Shot In Domestic Dispute,"Colleen Jenkins, Reuters",https://www.huffingtonpost.com/entry/georgia-mayor-dies-from-gunshot-wounds_us_566f2d19e4b011b83a6c281e,The mayor's wife was interviewed and no charges have been filed in the case.,2015-12-14
72140,CRIME,"Paranoid Pot Grower Calls 911 On Himself After Hearing Helicopter, Cops Say",Nina Golgowski,https://www.huffingtonpost.com/entry/pot-grower-calls-911-on-himself_us_566db525e4b0e292150e3f59,"""I'm the guy they're looking for,"" Jasper Harrison allegedly told police.",2015-12-13
72144,CRIME,Drunk Driver Found Hiding In Nativity Scene After Crashing Car: Police,Nina Golgowski,https://www.huffingtonpost.com/entry/drunk-driver-found-in-nativity-scene_us_566dd4f8e4b0fccee16ef261,"""Not even the baby Jesus could save him,"" one Twitter user quipped.",2015-12-13
72152,CRIME,"After LA Sheriff's Deputies Fatally Shoot A Man, His Family Claims Excessive Force",Kim Bellware,https://www.huffingtonpost.com/entry/la-sheriff-deputy-shooting-lynwood_us_566d9903e4b011b83a6b9696,"Deputies say the man was armed, but the victim's family calls the shooting unjust.",2015-12-13
72207,CRIME,Police: Person Detained Over Arson At Southern California Mosque,,https://www.huffingtonpost.com/entry/california-mosque-arson-investigation_us_566b7d74e4b011b83a6b6c96,The mosque is about 75 miles from San Bernardino.,2015-12-12
72213,CRIME,New Video Shows Man Had Both Hands In Air When Fatally Shot By Cops,Sebastian Murdock,https://www.huffingtonpost.com/entry/new-video-shows-man-had-hands-in-air-when-fatally-shot-by-cops_us_566c4d7de4b0fccee16ecce4,A grand jury voted this week not to indict the officers.,2015-12-12
72215,CRIME,Suspect In Cop Killings Found Dead Inside Mississippi Jail Cell,Andy Campbell,https://www.huffingtonpost.com/entry/alleged-cop-killer-found-dead-inside-his-mississippi-jail-cell_us_566c6a68e4b0fccee16ed20a,"Homicide was ruled out, and investigators say suspect Marvin Banks may have died of natural causes.",2015-12-12
72216,CRIME,School Bus Driver Arrested On DUI While Taking 28 Kids Home,,https://www.huffingtonpost.com/entry/bus-driver-arrested-on-dui-while-carrying-28-kids-home_us_566ca96ae4b0fccee16ed835,Witnesses called police when the driver got stuck trying to turn the bus around.,2015-12-12
72222,CRIME,Elementary School Teachers Ate Pot-Laced Brownies Left In Lounge,,https://www.huffingtonpost.com/entry/marijuana-brownies-school-teachers_us_566bfb33e4b011b83a6b722f,Three educators got sick from eating the tainted food.,2015-12-12
72228,CRIME,Person Of Interest Detained After California Mosque 'Firebombed',,https://www.huffingtonpost.com/entry/person-of-interest-arrested-in-california-mosque-firebomb_us_566c8865e4b0e292150e26c6,Riverside County sheriff's deputies called the fire at Islamic Center of Palm Springs arson.,2015-12-12
72262,CRIME,DJ Played Snorting 'Peppa Pig' Theme To Cops; They Weren't Happy,Lee Moran,https://www.huffingtonpost.com/entry/peppa-pig-police-wales-pub_us_566c03cde4b011b83a6b7269,The DJ also made oinking noises over the microphone.,2015-12-12
72284,CRIME,Soldier's Lover Pleads Guilty To Murdering Wife,"JENNIFER SINCO KELLEHER, AP",https://www.huffingtonpost.com/entry/ailsa-jackson-pleads-guilty-to-murder_us_566a160ee4b080eddf57bd4c,"Ailsa Jackson says Sgt. Michael Walker wanted his wife gone. He says he loved his wife, with whom he was trying to have a baby.",2015-12-11
72348,CRIME,4 Bikers Shot In Waco With Same Rifle Type Police Use,,https://www.huffingtonpost.com/entry/waco-biker-shootout-guns_us_566b119ce4b0f290e522fed9,It was not clear whether any bikers had similar guns to the police that day.,2015-12-11
72369,CRIME,"Drunk Naked Man Streaks At Women's March, Pays The Price",Ron Dicker,https://www.huffingtonpost.com/entry/drunk-naked-man-streaks-womens-march-pays-the-price_us_566b0d27e4b009377b24cdb7,"""It hard to accept, even in your drunken state, you were not aware of it at all,"" judge says.",2015-12-11
72380,CRIME,Students Charged After Tiny Explosive Found At Middle School (UPDATE),Andy Campbell,https://www.huffingtonpost.com/entry/mississippi-school-ied_us_5668ba2de4b080eddf56f745,"The device had the firepower of ""two large firecrackers.""",2015-12-10
72390,CRIME,Armed Man On Arkansas State University Taken Into Custody,,https://www.huffingtonpost.com/entry/arkansas-state-university-shooter_us_5669da7de4b080eddf577fe4,No shots were fired.,2015-12-10
72433,CRIME,A Driverless Train Carrying 50 People Blew Through 4 Stops After Being Tampered With,,https://www.huffingtonpost.com/entry/boston-driverless-train_us_5669a754e4b0f290e522313c,BOSTON (AP) — A six-car train with passengers on board that left a suburban Boston transit station without a driver Thursday,2015-12-10
72447,CRIME,Baltimore Police Officer Testifies In His Own Defense At Freddie Gray Trial,"JULIET LINDERMAN AND DAVID DISHNEAU, AP",https://www.huffingtonpost.com/entry/freddie-gray-trial_us_5668f8a7e4b0f290e5220442,"Officer William Porter told  jurors that he didn't call an ambulance for Freddie Gray because Gray was alert, appeared uninjured and didn't complain of any pain or wounds in the back of a police van.",2015-12-10
72524,CRIME,Former Miss Kansas Accused Of Illegally Killing Alaskan Grizzly,Andy Campbell,https://www.huffingtonpost.com/entry/theresa-vail-charged-alaskan-grizzly_us_56686b4ce4b0f290e5217e75,Theresa Vail is known for her military service and rugged TV show.,2015-12-09
72561,CRIME,Georgia Executes Man For Killing His Mother's Friend,"Kate Brumback, AP",https://www.huffingtonpost.com/entry/georgia-man-execution-brian-keith-terrell_us_56675a3be4b080eddf5604f6,"Brian Keith Terrell, 47, was put to death for the June 1992 killing of John Watson.",2015-12-08
72598,CRIME,Chicago Police Commander Goes To Trial For Allegedly Putting Gun In Suspect's Mouth,,https://www.huffingtonpost.com/entry/chicago-cop-faces-trial-for-gun-in-mouth_us_566710dee4b08e945ff1061a,Glenn Evans faces charges of aggravated battery and official misconduct for the 2013 incident.,2015-12-08
72623,CRIME,Severed Pig's Head Found On Sidewalk Outside Mosque,,https://www.huffingtonpost.com/entry/severed-pig-head-mosque-philadelphia_us_56669895e4b08e945ff0c59b,Surveillance video appears to show it being thrown from a pickup.,2015-12-08
72625,CRIME,"Father And Son Cooks Accused Of Stealing $40,000 Of Chicken Wings",,https://www.huffingtonpost.com/entry/father-son-chicken-wings_us_5666edc7e4b079b2818ffbdd,Paul and Joshua Rojek allegedly took the wings from the restaurant they worked at.,2015-12-08
72632,CRIME,"Seattle Cops Involved In Intense Car Chase, Shootout Caught On Video",,https://www.huffingtonpost.com/entry/seattle-cops-involved-in-intense-car-chase-shootout-caught-on-video_us_5667519ee4b009377b22cf4c,The suspect can be seen careening up a one-way street in the wrong direction.,2015-12-08
72669,CRIME,Darth Vader Interviews For Fort Worth Police Job,Ron Dicker,https://www.huffingtonpost.com/entry/darth-vader-interviews-for-police-job-in-recruitment-video_us_5665eec7e4b079b2818f9547,May the police force be with you!,2015-12-07
72678,CRIME,These Recent Mass Shootings Went Mostly Overlooked,,https://www.huffingtonpost.comhttp://www.thetrace.org/2015/12/urban-mass-shootings-overlooked/,"The deadliest incidents understandably generate the most intense interest. Meanwhile, the everyday gun violence that plagues",2015-12-07
72690,CRIME,San Bernardino Officials Fight Back Tears To Praise Community Spirit,Willa Frej,https://www.huffingtonpost.com/entry/san-bernardino-officials-fight-back-tears-praise-tight-knit-community_us_5665a88ae4b079b2818f2deb,"The county's health director, who survived the shooting, relived how the victims held each other as the attackers opened fire.",2015-12-07
72694,CRIME,Stabbing At Miami's Art Basel Gallery Mistaken As Performance Art,,https://www.huffingtonpost.com/entry/gallery-stabbing-seen-as-performance-art_us_5665ac6fe4b079b2818f355a,At least one witness thought the fight was a performance with fake blood.,2015-12-07
72709,CRIME,"San Bernardino Shooters Had Target Practice Days Before Attack, FBI Says",,https://www.huffingtonpost.com/entry/san-bernardino-shooters-target-practice_us_5665e84be4b08e945ff060e0,"The FBI said they'd been radicalized ""for quite some time.""",2015-12-07
72732,CRIME,Police Arrest Mother Of Newborn Found Buried Alive,Lee Moran,https://www.huffingtonpost.com/entry/newborn-baby-compton-buried-alive_us_56654216e4b072e9d1c69501,The tiny infant was hidden under asphalt and loose dirt.,2015-12-07
72738,CRIME,Deputy Already Under Investigation For A Shooting Allegedly Shoots Neighbor,Michael McLaughlin,https://www.huffingtonpost.com/entry/ohio-deputy-allegedly-shoots-neighbor_us_5665e66ce4b072e9d1c7047f,He reportedly told investigators that the weapon fired accidentally.,2015-12-07
72750,CRIME,Man Guilty Of Cooking 2-Month-Old Puppy Alive On Stove,Lee Moran,https://www.huffingtonpost.com/entry/bradley-boley-cooked-puppy-alive_us_5663e80ce4b079b2818ef681,Buddy the Chihuahua suffered severe burns and had to be humanely euthanized.,2015-12-06
72751,CRIME,Kids' Plot To Bomb School With Cinnamon Was Over Bullying: Prosecutors,,https://www.huffingtonpost.com/entry/plot-to-bomb-school-was-allegedly-over-bullying_us_56643997e4b08e945fefd0fe,The 10- and 11-year-olds were allegedly upset about an older friend being bullied.,2015-12-06
72754,CRIME,FBI Searches The Home Of California Shooter's Former Neighbor,"Rory Carroll and Yasmeen Abutaleb, Reuters",https://www.huffingtonpost.com/entry/san-bernardino-fbi-searches-house-nearby_us_56638545e4b079b2818ef4c6,"RIVERSIDE, Calif., Dec 5 (Reuters) - Federal agents in Riverside conducted a search early on Saturday at what neighbors say",2015-12-06
72761,CRIME,California Shooters Likely Planned Multiple Attacks: Officials,"Mark Hosenball and Diane Bartz, Reuters",https://www.huffingtonpost.com/entry/california-shooters-likely-planned-multiple-attacks-officials_us_5664c5ace4b08e945fefe153,"By Mark Hosenball and Diane Bartz WASHINGTON, Dec 6 (Reuters) - U.S. investigators are increasingly convinced the California",2015-12-06
72825,CRIME,Man Allegedly Tried Snorting Cocaine During Traffic Stop,Lee Moran,https://www.huffingtonpost.com/entry/seattle-police-cocaine-traffic-stop_us_5662b186e4b08e945fefbc92,The 73-year-old reportedly wanted a quick hit as a cop checked his documentation.,2015-12-05
72830,CRIME,Man Accused Of Calling In Bomb Threats After Missing Flight,Lee Moran,https://www.huffingtonpost.com/entry/bomb-threat-philadelphia-airport_us_5661b3aae4b08e945fef19d9,Svein Johannessen allegedly made two calls from inside Philadelphia International Airport.,2015-12-05
72834,CRIME,Hostage Situation At Wisconsin Motorcycle Shop Ends With 1 Dead,Andy Campbell,https://www.huffingtonpost.com/entry/shots-hostages-wisconsin-motorcycle-shop_us_5663307be4b072e9d1c66fd0,Two people were taken to the hospital and are expected to recover.,2015-12-05
72852,CRIME,Investigators Piece Together Portrait Of Tashfeen Malik,"Mehreen Zahra-Malik, Reuters",https://www.huffingtonpost.com/entry/investigators-piece-together-portrait-of-pakistani-woman-in-shooting-massacre_us_5662fd6ee4b079b2818ee4ff,Tashfeen Malik's path to accused mass killer in California began in a small city on the Indus River in Pakistan's Punjab,2015-12-05
72853,CRIME,Parents Guilty Of Imprisoning Daughters Under Extreme Rules,,https://www.huffingtonpost.com/entry/arizona-couple-richter-convicted-child-abuse_us_5662f933e4b072e9d1c66971,Arizona couple Fernando and Sophia Richter were convicted of kidnapping and child abuse charges.,2015-12-05
72856,CRIME,FBI Investigating California Massacre As 'Act Of Terrorism',"Dan Whitcomb and Mark Hosenball, Reuters",https://www.huffingtonpost.com/entry/san-bernardino-fbi-investigation-terrorism_us_56625ab5e4b072e9d1c66562,"PLEDGE OF ALLEGIANCE One startling disclosure came from social media network Facebook, which confirmed that comments praising",2015-12-05
72907,CRIME,California Rampage Shocks Those Who Knew Shooters,,https://www.huffingtonpost.com/entry/san-bernardino-shooter_us_5661696de4b079b2818e230d,"""This was a person who was successful, who had a good job, a good income, a wife and a family. What was he missing in his life?""",2015-12-04
72934,CRIME,San Bernardino Attacker's Brother-In-Law Wonders If Killer Was Brainwashed,Willa Frej,https://www.huffingtonpost.com/entry/san-bernardino-attacker-brainwashed_us_56618fa2e4b072e9d1c5a929,Farhan Khan is desperate for answers.,2015-12-04
72968,CRIME,Missing 'X-Men' Producer Found Safe After Tipster Contacts HuffPost,David Lohr,https://www.huffingtonpost.com/entry/eric-kohler-found-mexico_us_5661fa70e4b072e9d1c62768,"Eric Kohler was found one day after HuffPost received a tip he was in the town of La Paz, Mexico.",2015-12-04
72976,CRIME,How The San Bernardino Killers Exploited A Loophole To Legally Obtain Assault-Style Rifles In California,Daniel Marans,https://www.huffingtonpost.com/entry/san-bernardino-shooters-assault-rifles-california_us_5661f892e4b079b2818ea0ac,"It's called the ""bullet button loophole.""",2015-12-04
73019,CRIME,San Bernardino Police Officer: 'I'll Take A Bullet Before You Do',Marina Fang,https://www.huffingtonpost.com/entry/san-bernardino-shooting-police-officer_us_565f9d88e4b072e9d1c4bd66,"The officer was evacuating people from the Inland Regional Center, the site of a mass shooting.",2015-12-03
73030,CRIME,"'Cowards' Beat Man With Cerebral Palsy, Post Video on Facebook",Nina Golgowski,https://www.huffingtonpost.com/entry/suspects-arrested-in-assault-of-disabled-man_us_56605571e4b072e9d1c4dd54,Nikey Dashone Walker and Shadeed Dontae Bey allegedly used the victim's cell phone to film the attack.,2015-12-03
73035,CRIME,Fifth-Graders Arrested After Allegedly Planning Explosion,Nina Golgowski,https://www.huffingtonpost.com/entry/fifth-graders-arrested-for-alleged-bomb-plot_us_56607059e4b079b2818d7431,A teacher tipped off authorities after finding a written plan to attack a nearby high school.,2015-12-03
73048,CRIME,Man Describes Wife’s Terrifying Brush With San Bernardino Gunman,Dominique Mosbergen,https://www.huffingtonpost.com/entry/luis-gutierrez-san-bernardino-shooting_us_56600d30e4b072e9d1c4cd3e,"""There's a shooter at work.""",2015-12-03
73049,CRIME,Video Shows Dramatic Moment Police Swarmed Inland Regional Center,Nick Visser,https://www.huffingtonpost.com/entry/video-inland-regional-center_us_565f8d50e4b079b2818d3571,Several staff members at the San Bernardino facility thought it was a drill.,2015-12-03
73056,CRIME,Sheriff Urges People To Carry Guns In Wake Of San Bernardino Shooting,Lydia O'Connor,https://www.huffingtonpost.com/entry/sheriff-guns-san-bernardino-shooting_us_5660c1b9e4b072e9d1c57545,"He did limit the call to ""licensed handgun owners.""",2015-12-03
73074,CRIME,Here's Everything We Know About The San Bernardino Attackers,"Willa Frej, Michael McLaughlin, Sebastian Murdock, and Lydia O'Connor",https://www.huffingtonpost.com/entry/san-bernardino-suspect-syed-farook_us_565facc3e4b079b2818d3f49,"Police identified the killers as Syed Rizwan Farook, 28, and Tashfeen Malik, 27.",2015-12-03
73075,CRIME,"Mother On Trial For Hitting, Pinching Toddler During Long Flight",Carla Herreria,https://www.huffingtonpost.com/entry/samantha-keialoha-watanabe-child-abuse-flight_us_56607969e4b08e945fee5934,Samantha Leialoha Watanabe allegedly smacked her daughter in the face and yanked out clumps of hair to keep her quiet.,2015-12-03
73083,CRIME,Ex-CHP Officer Who Punched Bipolar Woman Won't Face Charges,,https://www.huffingtonpost.com/entry/ex-chp-officer-who-punched-bipolar-woman-wont-face-charges_us_5660cd59e4b08e945feed1cc,No criminal charges will be filed against a former California Highway Patrol officer who punched a bipolar woman as she walked,2015-12-03
73096,CRIME,Ted Cruz Was Wrong About The Planned Parenthood Shooting Suspect,,https://www.huffingtonpost.comhttp://www.buzzfeed.com/jimdalrympleii/clerical-error-blamed-for-planned-parenthood-attack-suspect,"A Colorado voter registration form listed Robert Dear as female, sparking some speculation that he is transgender. Officials",2015-12-02
73116,CRIME,Pennsylvania Police Chief Accused Of Huffing Air Can On Duty,,https://www.huffingtonpost.com/entry/pennsylvania-police-chief-accused-of-huffing-air-can-on-duty_us_565f4502e4b072e9d1c4632e,"Other officers ""watched as his eyes fluttered and he became unresponsive.""",2015-12-02
73121,CRIME,"$2,500 Reward For Info On Whoever Left This Puppy In A Freezing Trash Can",Elyse Wanshel,https://www.huffingtonpost.com/entry/frost-covered-puppy-found-in-trash_us_565f3b4ee4b072e9d1c45bd3,Michigan Humane Society is begging the public for help.,2015-12-02
73179,CRIME,"Mom Denies Girls Were Held Captive, Tortured With Music",,https://www.huffingtonpost.com/entry/mom-denies-girls-were-held-captive-tortured-with-music_us_565e1203e4b072e9d1c3bf4c,"Sophia Richter says her girls were never mistreated, though police say abuse was ongoing for years.",2015-12-01
73203,CRIME,Man Caught with 51 Live Turtles In Pants Pleads Guilty To Smuggling,,https://www.huffingtonpost.com/entry/man-caught-with-turtles-in-pants-faces-charges_us_565e071ee4b079b2818c2492,"Kai Xu, 27, was busted after seen with ""irregularly shaped bulges"" under his sweat pants.",2015-12-01
73259,CRIME,Cop Charged With Laquan McDonald's Murder Posts Bail,,https://www.huffingtonpost.com/entry/jason-van-dyke-bail_us_565ce5cbe4b08e945fec5c20,"Bail was set at $1.5 million, of which 10 percent had to be posted.",2015-12-01
73267,CRIME,Police Searching For Missing 'X-Men' Producer,David Lohr,https://www.huffingtonpost.com/entry/police-searching-for-missing-x-men-producer_us_565e0986e4b08e945fed0318,Eric Kohler mysteriously disappeared two days before Thanksgiving.,2015-12-01
73287,CRIME,University Of Chicago Shooting Threat A Response To Laquan McDonald Video,,https://www.huffingtonpost.com/entry/university-of-chicago-shooting-threat-a-response-to-laquan-mcdonald-video_us_565cbbb0e4b072e9d1c2dbfe,"Jabari R. Dean, 21, of Chicago, threatened to kill 16 white male students or staff at the school.",2015-11-30
73303,CRIME,These Are The Victims Of Terrorism In Colorado Springs,Kim Bellware and Willa Frej,https://www.huffingtonpost.com/entry/colorado-springs-planned-parenthood-victims_us_565b78c4e4b08e945feb83eb,A 36-year-old mother. A 29-year-old Iraq vet. A 44-year-old police officer.,2015-11-30
73328,CRIME,Trial Begins For Cop Charged In Death Of Freddie Gray,"Juliet Linderman, AP",https://www.huffingtonpost.com/entry/trial-begins-for-cop-charged-in-death-of-freddie-gray_us_565c4fc7e4b072e9d1c24ec4,A verdict is likely to set the tone for the city.,2015-11-30
73375,CRIME,Man Lived Alongside Dead Father's Body For Four Months,Lee Moran,https://www.huffingtonpost.com/entry/skeleton-kenneth-brown_us_565adf3ee4b072e9d1c22309,Kenneth Brown was reportedly propped up in his favorite armchair.,2015-11-29
73376,CRIME,Veteran Suing After Town Demolishes Home As He Has Surgery,,https://www.huffingtonpost.com/entry/veteran-suing-after-town-demolishes-home-during-surgery_us_565b0814e4b072e9d1c22413,The 69-year-old returned from Florida to find his Long Island home  gone.,2015-11-29
73377,CRIME,"Colorado Church Remembers Fallen Officer, Asks Forgiveness For Shooter",Ryan Grenoble and Kim Bellware,https://www.huffingtonpost.com/entry/garrett-swasey-church_us_565b2b30e4b079b2818aa7fc,"Garrett Swasey was a ""very selfless man who truly cared,"" church friends say.",2015-11-29
73383,CRIME,New Outside Reports Call Tamir Rice Shooting 'Objectively Unreasonable',,https://www.huffingtonpost.comhttp://www.cleveland.com/metro/2015/11/expert_reports_ordered_by_tami.html,"CLEVELAND, Ohio — Attorneys for the family of Tamir Rice released reports Saturday from two use-of-force experts who determined",2015-11-29
73392,CRIME,"Suspected Burglar Gets Stuck In Chimney, Dies After Fire Is Lit",,https://www.huffingtonpost.com/entry/suspected-burglar-chimney-dies_us_565ac499e4b079b2818a9b8a,The man was responsive during part of the rescue.,2015-11-29
73396,CRIME,Charges Filed In Murder Of 9-Year-Old Chicago Boy Tyshawn Lee,"Jason Keyser, AP",https://www.huffingtonpost.com/entry/one-charged-in-murder-of-9-year-old-chicago-boy_us_565a7df8e4b08e945feb681a,Chicago Police Superintendent said  that two other men are also suspected in Tyshawn Lee's murder.,2015-11-29
73400,CRIME,"Dozens of Spiked Bats Found In San Francisco, Baffling Police",Nina Golgowski,https://www.huffingtonpost.com/entry/spiked-bats-san-francisco_us_565b43dfe4b08e945feb7898,"Is it artwork or ""someone trying to be sick""?",2015-11-29
73409,CRIME,Police Hunt Bad Santa Claus Who Stole Helicopter,,https://www.huffingtonpost.com/entry/bad-santa-helicopter-brazil_us_565aa985e4b08e945feb6951,"The Saint Nick tied the pilots up at a small farm outside Sao Paulo, Brazil.",2015-11-29
73413,CRIME,Colorado Planned Parenthood Shooting Is Part Of A Frightening Trend,Chloe Angyal,https://www.huffingtonpost.com/entry/colorado-planned-parenthood-shooting_us_5658f9b1e4b072e9d1c1f5b6,Is this the next stage of anti-abortion violence in America?,2015-11-29
73415,CRIME,"Mystery After Montana Mother, Son And A 25-Pound Gold Bar Vanish",Nina Golgowski,https://www.huffingtonpost.com/entry/mystery-after-mom-son-and-gold-vanish_us_565b28ece4b079b2818aa7e8,"Beverly Giannonatti, 79, and her son Greg, 57, haven't been seen since late October.",2015-11-29
73451,CRIME,Officer Killed In Planned Parenthood Attack Was 'Man Of Courage',Hilary Hanson,https://www.huffingtonpost.com/entry/garrett-swasey-planned-parenthood-attack_us_5659b57de4b08e945feb46ee,Garrett Swasey was a leader in his church and was married with two children.,2015-11-28
73458,CRIME,Planned Parenthood Shooting Suspect Robert Lewis Dear Has Unsettling Past,Paige Lavender and Hilary Hanson,https://www.huffingtonpost.com/entry/robert-lewis-dear-planned-parenthood-shooting_us_565925b3e4b08e945feb4375,"""If you talked to him, nothing was very cognitive,"" a former neighbor said.",2015-11-28
